smiles,hit0,hit1
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])N(C#N)C([H])([H])C2([H])[H])c([H])c1[H],x0501a,x0654b
[H]c1c([H])c(C#N)c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],x0501a,x0654c
[H]c1c([H])c([H])c([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])O[C@@]([H])(C([H])([H])[H])C2([H])[H])c([H])c1[H],x0501a,x0759b
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])O[C@@]([H])(C([H])([H])[H])C2([H])[H])c([H])c1[H],x0501a,x0759a
[H]ON([H])[C@@]1([C@H]2C([H])C([H])[C@H]3[C@@H]2C([H])([H])[C@]([H])(C([H])([H])[H])OC3([H])[H])C([H])([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2C1([H])[H],x0501a,x0787a
[H]ON([H])[C@@]1(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2C1([H])[H],x0501a,x0787b
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],x0501b,x0501a
[H]c1c([H])c([H])c(C(=O)[C@@]2([H])C3=NNC4:N(:C3C([H])([H])C2([H])[H])C([H])([H])C([H])([H])OC4([H])[H])c([H])c1[H],x0501b,x0407b
[H]c1c([H])c(C([H])([H])[H])c(N([H])[H])c(C([H])([H])[C@@]([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])[C@]2([H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C2([H])[H])c1[H],x0501b,x0414a
[H]N([H])[C@]1(C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C1([H])[H],x0501b,x0414b
[H]Oc1c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1C([H])([H])[H],x0501b,x0419a
[H]Oc1c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1C([H])([H])[H],x0501b,x0419c
[H]C(=O)C([H])([H])[C@@]([H])(c1nc(C([H])([H])OC([H])([H])C([H])([H])[H])n(C([H])([H])[H])n1)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],x0501b,x0421a
[H]C(=O)C([H])([H])[C@]([H])(c1nc(C([H])([H])OC([H])([H])C([H])([H])[H])n(C([H])([H])[H])n1)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],x0501b,x0421b
[H]C(=O)[C@@]12C([H])([H])C([H])([H])OC([H])([H])[C@]1([H])N(C([H])([H])[H])N([H])[C@@]2([H])C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],x0501b,x0421c
[H]C(=O)C([H])([H])[C@]([H])(c1nc(C([H])([H])OC([H])([H])C([H])([H])[H])n(C([H])([H])[H])n1)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],x0501b,x0421d
[H]c1c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1C([H])([H])[H],x0501b,x0426a
[H]c1c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],x0501b,x0434a
[H]c1c([H])c(F)c2c(c1[H])C([H])([H])[C@@]([H])(C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])N2[H],x0501b,x0485a
[H]O[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C12C([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C2([H])[H],x0501b,x0489a
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],x0501b,x0492a
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],x0501b,x0492b
[H]c1c([H])c(C([H])([H])[C@@]([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])[C@@]2([H])N([H])C([H])([H])C([H])([H])OC2([H])[H])c([N+]([H])([H])[H])c(C([H])([H])[H])c1C([H])([H])[H],x0501b,x0540a
[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1/C(=C(/N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],x0501b,x0540b
