smiles,inspiration[2H]C([2H])(C(=O)N1CCOCC1)N(CC)C(C)(C)C,x0540a
[2H]C([2H])(C(=O)N1CCOCC1)N(CC)C(C)(C)C,x0540b
[2H]C([2H])(C(=O)N1CCOCC1)N(C)C(C)(C)C#C,x0540a
[2H]C([2H])(C(=O)N1CCOCC1)N(C)C(C)(C)C#C,x0540b
[2H]C([2H])(C(=O)N1CCOCC1)N(C)CC#CC,x0540a
[2H]C([2H])(C(=O)N1CCOCC1)N(C)CC#CC,x0540b
[2H]C([2H])(C(=O)N1CCOCC1)N(C)C(C)C#C,x0540a
[2H]C([2H])(C(=O)N1CCOCC1)N(C)C(C)C#C,x0540b
[2H]C([2H])(NC(C(C)(C)C)C(C)(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(NC(C(C)(C)C)C(C)(C)C)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(NC(C)(C)C(C)(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(NC(C)(C)C(C)(C)C)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(NC(C#C)C(C)(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(NC(C#C)C(C)(C)C)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(NC(C)(C)C#CCC)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(NC(C)(C)C#CCC)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(NC(C)C(C)(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(NC(C)C(C)(C)C)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(NC(C)(C)C#CC)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(NC(C)(C)C#CC)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(NC(C)C#CC)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(NC(C)C#CC)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(NC(C)(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(NC(C)(C)C)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(NC(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(NC(C)C)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(N[C@H](C#C)C(C)(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(N[C@H](C#C)C(C)(C)C)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(N[C@@H](C#C)C(C)(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(N[C@@H](C#C)C(C)(C)C)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(N[C@H](C)C(C)(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(N[C@H](C)C(C)(C)C)C(=O)N1CCOCC1,x0540b
[2H]C([2H])(N[C@@H](C)C(C)(C)C)C(=O)N1CCOCC1,x0540a
[2H]C([2H])(N[C@@H](C)C(C)(C)C)C(=O)N1CCOCC1,x0540b
