smiles,template,compound_set,hit1
CCOC(=O)C(C)(C)N(CC)S(=O)(=O)c1cccc([N+](=O)O)c1,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0487a
C=CCNS(=O)(=O)c1cc(C(C)C)ccc1OC,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0472b
CCCCOCCCNS(=O)(=O)c1ccc([N+](=O)O)cc1,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0487a
CCN(CC)CCCNS(=O)(=O)c1ccc([N+](=O)O)cc1,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0487b
CCCNS(=O)(=O)c1ccc(OC)c(OC)c1,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0472a
O=C(O)CCCNS(=O)(=O)c1ccc(F)cc1,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0487b
O=C(O)CCNS(=O)(=O)c1ccc([N+](=O)O)cc1,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0487b
CCNS(=O)(=O)c1cc(C(=O)NC)ccc1OC,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0639c
COCCCNS(=O)(=O)c1cc(Cl)ccc1OC,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0639a
CCOc1ccc(S(=O)(=O)NCCOC)cc1NC(C)=O,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0483a
Cc1ncsc1CNCCOCCO,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0504c
CS(=O)(=O)NCC(=O)c1ccccc1,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0639c
O=[N+](O)c1ccccc1CCS(=O)(=O)Cl,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0639b
NS(=O)(=O)c1cc(CCl)c(Cl)cc1Cl,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0472b
CCN(C)c1cc(C#N)cc(OC)n1,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0602b
CC(C)S(=O)(=O)N1CCOC(C)(CN)C1,x0414a,CpKRS_FrAncestor_bulkdock_iter1_cluster_best5,x0540a
